ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC2339_chromate_resistance_protein-related_protein	2490959	2492101	+	6865	90	1.44724	13.1711	4928	49	0.872602	9.28591	5476	72	0.904896	5.36457	7111	70	0.954626	4.99943	3042	40	0.501314	3.46738	6219	82	1.09685	5.34816	0.5	0	0.0138322	0.352922	1245	39	7.58152	242.714	501	16	3.03944	44.8897	861	27	2.99854	44.7942
VC2340_hypothetical_protein	2492237	2493391	+	27788	366	5.79717	52.7594	15182	150	2.66033	28.3102	6309	83	1.03171	6.11635	10159	101	1.34963	7.06808	14510	191	2.36635	16.367	23041	303	4.02152	19.6085	48	2	1.31408	33.5282	1412	44	8.50907	272.408	2381	74	14.2947	211.12	4581	142	15.788	235.852
VC2341_long-chain-fatty-acid--CoA_ligase,_putative	2493591	2495282	+	19333	254	2.75246	25.0498	7760	77	0.927961	9.87502	34790	458	3.8825	23.017	33214	329	3.01125	15.7701	15780	208	1.75623	12.1471	28101	370	3.34713	16.3203	185	6	3.45634	88.1868	1514	47	6.22638	199.33	3511	109	14.385	212.453	6442	199	15.1513	226.34
VC2342_elongation_factor_G	2495396	2497483	-	3.11E+06	40971	359.195	3268.99	3.79E+06	37484	366.821	3903.57	8.49E+06	111728	767.814	4551.9	1.25E+07	123541	916.594	4800.26	7.11E+06	93498	640.78	4432.01	9.07E+06	119367	875.527	4268.99	6578	206	99.5771	2540.66	14112	437	47.024	1505.42	22293	690	74.0062	1093	36781	1139	70.0928	1047.09
VC2343_DNA_repair_protein_RadA	2497754	2499133	-	59540	783	10.3946	94.6005	52341	518	7.6752	81.6766	189919	2499	25.9899	154.078	185848	1840	20.6615	108.206	111004	1461	15.1493	104.781	151624	1995	22.1462	107.983	227	7	5.20055	132.69	851	26	4.29159	137.39	1093	34	5.49134	81.1018	2010	62	5.79701	86.5998
VC2344_hypothetical_protein	2499261	2501600	+	75436	993	7.7645	70.6638	110436	1093	9.54756	101.602	134794	1774	10.8753	64.473	329230	3260	21.5793	113.012	168093	2212	13.525	93.5465	228814	3011	19.7037	96.0732	187	6	2.5258	64.4446	2796	87	8.31305	266.133	3318	103	9.82808	145.151	8001	248	13.6046	203.235
VC2345_phosphoserine_phosphatase	2501805	2502791	-	59137	778	14.4393	131.411	53477	529	10.9674	116.711	147774	1944	28.2828	167.671	387179	3833	60.201	315.276	218856	2880	41.7733	288.928	357507	4704	73.0302	356.088	155	5	4.96641	126.716	939	29	6.6228	212.021	1723	53	12.1068	178.806	2546	79	10.2696	153.414
VC2346_smp_protein,_putative	2502825	2503511	+	30162	397	10.5852	96.3351	24506	243	7.22371	76.872	78731	1036	21.6582	128.398	103574	1025	23.147	121.222	38497	507	10.5614	73.0484	61120	804	17.9454	87.5002	0.5	0	0.0230268	0.587518	786	24	7.96804	255.088	731	23	7.38271	109.036	1266	39	7.33976	109.646
VC2347_purine_nucleoside_phosphorylase	2503591	2504316	-	243702	3207	80.9256	736.495	360610	3570	100.58	1070.33	260121	3423	67.7078	401.398	538640	5333	113.901	596.509	208224	2740	54.0517	373.853	328138	4318	91.1619	444.497	200	6	8.71525	222.365	1246	39	11.9518	382.623	9610	298	91.8349	1356.31	16439	509	90.1799	1347.17
VC2348_phosphopentomutase	2504399	2505619	-	58813	774	11.6059	105.624	199607	1976	33.0847	352.075	107073	1409	16.5623	98.1879	247718	2453	31.1291	163.025	53000	697	8.17585	56.5489	48245	635	7.96503	38.8367	258	8	6.6811	170.465	2024	63	11.5373	369.353	7534	233	42.7847	631.889	13266	411	43.2467	646.048
VC2349_thymidine_phosphorylase	2505637	2506983	-	35184	463	6.29311	57.2729	100964	1000	15.1682	161.414	93482	1230	13.1064	77.6999	240253	2379	27.3648	143.311	45002	592	6.29222	43.5206	37633	495	5.63143	27.4583	76	2	1.78384	45.5139	1711	53	8.84012	283.006	6113	189	31.4653	464.712	10667	330	31.5188	470.85
VC2350_deoxyribose-phosphate_aldolase	2507071	2507850	-	74092	975	22.8981	208.393	126554	1253	32.8511	349.589	107578	1416	26.0608	154.498	351385	3479	69.1535	362.161	128445	1690	31.0311	214.629	143092	1883	36.9975	180.396	151	5	6.12389	156.248	1614	50	14.4085	461.272	7461	231	66.3563	980.019	13318	412	67.9945	1015.75
VC2351_hypothetical_protein	2507952	2508140	+	0.5	0	0.00064029	0.00582721	0.5	0	0.000537804	0.00572311	0.5	0	0.000501896	0.00297543	518	5	0.422416	2.21222	154	2	0.154163	1.06628	0.5	0	0.000535682	0.00261193	6	0	1.00828	25.7258	359	11	13.2797	425.136	42	1	1.5478	22.8595	205	6	4.33679	64.786
VC2352_NupC_family_protein	2508452	2509708	-	354289	4662	67.9099	618.04	605144	5992	97.4273	1036.79	1.17E+06	15423	176.11	1044.05	1.11E+06	10959	135.099	707.522	337018	4434	50.4987	349.278	460827	6064	73.8998	360.328	1115	35	28.0461	715.584	5381	167	29.7938	953.816	15260	472	84.1758	1243.2	26928	834	85.2682	1273.79
VC2353_hypothetical_protein	2509895	2510746	-	14621	192	4.1363	37.644	20002	198	4.75287	50.5782	57338	754	12.7149	75.3791	51579	511	9.29206	48.6631	32824	432	7.25903	50.2077	36828	485	8.71652	42.5009	0.5	0	0.0185622	0.473604	868	27	7.09322	227.081	639	20	5.20228	76.8327	1518	47	7.09438	105.981
VC2354_hypothetical_protein	2510691	2510834	-	13544	178	22.8021	207.52	14385	142	20.3416	216.468	33107	436	43.6903	259.013	56776	562	60.8692	318.776	22145	291	29.1445	201.58	38123	502	53.6965	261.819	0.5	0	0.110464	2.81844	353	11	17.1669	549.579	284	9	13.7596	203.216	503	16	13.9896	208.986
VC2355_hypothetical_protein	2510861	2511634	-	48093	633	14.9785	136.317	58868	583	15.3997	163.878	93178	1226	22.7476	134.856	267604	2650	53.074	277.952	99245	1306	24.1627	167.123	161921	2131	42.1909	205.719	32	1	1.30785	33.3692	680	21	6.11762	195.849	2927	91	26.2341	387.452	4544	141	23.3793	349.256
VC2356_sodium/alanine_symporter	2511798	2513228	-	195343	2570	32.8872	299.303	140977	1396	19.9354	212.145	879889	11577	116.116	688.382	452424	4479	48.5041	254.019	107407	1413	14.1356	97.7698	143155	1884	20.1635	98.3151	184	6	4.06509	103.719	1138	35	5.53426	177.173	2674	83	12.9553	191.338	4474	139	12.4432	185.885
VC2357_hypothetical_protein	2513867	2514100	+	79047	1040	81.676	743.324	89837	889	77.967	829.696	49154	647	39.8111	236.016	119000	1178	78.2996	410.06	58355	768	47.1345	326.01	60792	800	52.5515	256.236	247	8	33.4911	854.508	344	11	10.2673	328.695	856	27	25.4531	375.918	1713	53	29.2398	436.804
VC2358_hypothetical_protein	2514244	2514885	-	96251	1266	36.1503	329	115166	1140	36.3311	386.622	33772	444	9.9426	58.9436	101354	1004	24.2411	126.952	72732	957	21.3543	147.698	94111	1238	29.5718	144.189	154	5	7.59015	193.659	530	16	5.75004	184.081	3928	122	42.4557	627.03	7177	222	44.5305	665.227
VC2359_uracil-DNA_glycosylase	2514885	2515565	-	21304	280	7.54253	68.6437	39130	387	11.6362	123.829	39537	520	10.9723	65.0478	114685	1135	25.8563	135.411	61191	805	16.9354	117.135	75180	989	22.2684	108.578	170	5	7.8982	201.519	979	30	10.0121	320.527	940	29	9.57726	141.447	1632	51	9.54517	142.592
VC2360_endonuclease_IV	2515934	2516794	-	35429	466	9.91803	90.2629	28164	279	6.62228	70.4719	62064	817	13.6189	80.7382	154828	1533	27.6007	144.546	95194	1253	20.8319	144.085	177342	2333	41.5344	202.518	0.5	0	0.0183679	0.468648	763	24	6.16992	197.523	599	19	4.82559	71.2694	1100	34	5.08706	75.994
VC2361_autonomous_glycyl_radical_cofactor_GrcA	2517140	2517517	+	854529	11244	545.695	4966.31	2.03E+06	20059	1086.69	11564.1	203471	2677	101.85	603.808	2.86E+06	28341	1164.04	6096.15	1.83E+06	24020	911.302	6303.09	2.39E+06	31404	1275.12	6217.34	506	16	42.403	1081.89	1769	55	32.6317	1044.67	24717	765	454.231	6708.56	38823	1202	409.563	6118.33
VC2362_threonine_synthase	2517597	2518877	-	136547	1797	25.6825	233.733	76196	754	12.0374	128.098	92425	1216	13.6264	80.7825	202192	2002	24.2171	126.827	473526	6231	69.6227	481.551	626778	8247	98.6276	480.899	576	18	14.2168	362.734	1593	49	8.65484	277.075	2329	72	12.6061	186.181	4383	136	13.6186	203.445
VC2363_homoserine_kinase	2518874	2519830	-	160416	2111	40.3975	367.653	113188	1121	23.9417	254.778	158042	2080	31.1972	184.949	216035	2139	34.6445	181.436	340278	4477	66.9874	463.323	691750	9102	145.742	710.626	402	13	13.2848	338.956	1463	45	10.6424	340.704	1183	37	8.57332	126.62	2140	66	8.90284	132.997
VC2364_bifunctional_aspartokinase_I/homeserine_dehydrogenase_I	2519851	2522310	-	254544	3349	24.9212	226.805	189123	1873	15.5524	165.503	467907	6157	35.9089	212.882	526594	5214	32.8311	171.939	694061	9132	53.1197	367.407	1.15E+06	15104	94.0235	458.45	660	21	8.47956	216.352	3314	103	9.37232	300.044	4171	129	11.7518	173.563	6545	203	10.5858	158.138
VC2365_hypothetical_protein	2522858	2523340	+	2397	32	1.19725	10.8961	6153	61	2.58138	27.4701	5738	76	2.24654	13.3184	13392	133	4.25958	22.3077	19930	262	7.78175	53.8231	24667	325	10.3078	50.2596	32	1	2.09745	53.5153	686	21	9.89761	316.861	1322	41	19.0023	280.646	2301	71	18.9864	283.632
VC2366_ribonuclease_activity_regulator_protein_RraA	2523337	2523825	-	49331	649	24.3369	221.487	25852	256	10.7124	113.997	46416	611	17.9494	106.411	151546	1500	47.6095	249.334	138563	1823	53.4373	369.603	221277	2912	91.3295	445.314	231	7	14.9548	381.564	469	15	6.68353	213.966	1156	36	16.412	242.389	2521	78	20.5459	306.929
VC2367_hypothetical_protein	2523852	2524235	-	24829	327	15.6072	142.039	18634	184	9.83828	104.695	24831	327	12.2348	72.5326	90135	892	36.0797	188.952	66454	874	32.6542	225.855	116391	1531	61.209	298.449	93	3	7.67135	195.731	605	19	10.9852	351.68	985	30	17.818	263.155	1594	49	16.5524	247.272
VC2368_two-component_response_regulator	2524550	2525266	+	291812	3840	98.1194	892.974	422791	4186	119.406	1270.67	390833	5143	103.01	610.683	2.05E+06	20296	438.912	2298.61	605957	7973	159.274	1101.63	1.03E+06	13500	288.619	1407.28	746	23	32.9165	839.849	2389	74	23.2037	742.838	6808	211	65.8762	972.929	11085	343	61.5737	919.83
VC2369_aerobic_respiration_control_sensor_protein_ArcB	2525325	2527682	-	60305	793	6.15969	56.0586	58922	583	5.0551	53.7945	138856	1827	11.1175	65.9087	199402	1974	12.97	67.9245	126716	1667	10.1179	69.981	169571	2231	14.4906	70.6548	274	9	3.67264	93.7057	1437	44	4.23985	135.734	1187	37	3.4891	51.5307	2078	64	3.50638	52.3806
VC2370_sensory_box/GGDEF_family_protein	2527789	2529528	-	12176	160	1.68566	15.341	14144	140	1.64469	17.5022	26888	354	2.91783	17.298	72246	715	6.36917	33.3557	63290	833	6.8494	47.3744	63632	837	7.37006	35.9357	0.5	0	0.00908361	0.231764	1250	39	4.99878	160.03	619	19	2.46612	36.4222	1715	53	3.92227	58.5935
VC2371_hypothetical_protein	2529596	2530546	-	11179	147	2.83298	25.7827	22444	222	4.77736	50.8389	22692	299	4.50765	26.7231	166283	1646	26.8345	140.534	79053	1040	15.6607	108.319	120469	1585	25.5415	124.538	0.5	0	0.0166278	0.42425	657	20	4.80944	153.969	100	3	0.729287	10.7709	36	1	0.150713	2.25146
VC2372_hypothetical_protein	2530568	2530687	-	553	7	1.11878	10.1819	1466	15	2.49114	26.5098	509	7	0.807183	4.78529	28364	281	36.5417	191.371	2732	36	4.32067	29.8842	4735	62	8.01434	39.0771	0.5	0	0.132743	3.38687	93	3	5.43487	173.991	34	1	1.97949	29.2352	37	1	1.23659	18.4731
VC2373_glutamate_synthase,_large_subunit	2531065	2535657	+	160226	2108	8.40032	76.4504	132000	1307	5.81278	61.8574	103914	1367	4.27045	25.3169	268432	2658	8.96192	46.9341	1.12E+06	14689	45.753	316.454	1.38E+06	18209	60.7021	295.978	242	8	1.66495	42.4804	3875	120	5.86844	187.872	1025	32	1.54648	22.84	1858	58	1.60922	24.0397
VC2374_glutamate_synthase_subunit_beta	2535658	2537127	+	51760	681	8.48276	77.2007	45444	450	6.25556	66.5694	28894	380	3.71182	22.0051	55388	548	5.78046	30.2726	395375	5202	50.6529	350.345	475199	6253	65.1551	317.69	84	3	1.80653	46.0928	966	30	4.57308	146.402	366	11	1.72616	25.4938	647	20	1.75168	26.1678
VC2375_hypothetical_protein	2537161	2537271	+	555	7	1.21469	11.0548	1294	13	2.37877	25.314	235	3	0.403159	2.39008	986	10	1.37421	7.19682	4819	63	8.24482	57.0259	5408	71	9.90236	48.283	0.5	0	0.143604	3.66398	125	4	7.90261	252.993	0.5	0	0.031492	0.465106	0.5	0	0.018078	0.270061
VC2376_glutamate_synthase_subunit_alpha	2537655	2542118	+	96414	1269	5.2009	47.3328	66086	654	2.99429	31.8642	340976	4487	14.4178	85.4741	491842	4870	16.8954	88.482	507052	6672	21.3817	147.888	704235	9266	31.7823	154.967	978	31	6.92309	176.639	5328	165	8.30215	265.784	4718	146	7.32408	108.17	8011	248	7.13892	106.646
VC2377_glutamate_synthase_subunit_beta	2542134	2543549	+	29817	392	5.07309	46.1696	13976	138	1.99728	21.2543	44660	588	5.95612	35.3102	68040	674	7.37185	38.6068	117759	1549	15.6623	108.329	157982	2079	22.4877	109.648	179	6	3.99654	101.97	1744	54	8.57123	274.398	1711	53	8.37753	123.728	2697	83	7.58049	113.242
VC2378_hypothetical_protein	2543736	2544170	+	10956	144	6.07753	55.3109	11614	115	5.41133	57.5853	29258	385	12.722	75.4211	53067	525	18.7458	98.1728	25207	332	10.9307	75.6031	23913	315	11.0979	54.1121	169	5	12.3023	313.886	646	20	10.3513	331.386	676	21	10.7914	159.379	1489	46	13.6451	203.84
VC2379_5_-methylthioadenosine/S-adenosylhomocysteine_nucleosidase	2544258	2544953	+	51518	678	17.8459	162.414	67813	671	19.7306	209.966	93793	1234	25.4675	150.981	205537	2035	45.3392	237.444	96635	1272	26.1678	180.991	130871	1722	37.9274	184.93	40	1	1.81829	46.3928	926	29	9.26572	296.632	2860	89	28.5104	421.072	5165	160	29.5568	441.54
VC2380_adenosylcobinamide-phosphate_synthase	2544966	2545919	+	13492	178	3.40838	31.0193	13792	137	2.92648	31.1426	34909	459	6.91267	40.981	28733	284	4.62228	24.2072	9366	123	1.8496	12.7929	14214	187	3.00413	14.6478	81	3	2.68522	68.5121	395	12	2.88242	92.2774	774	24	5.62692	83.1042	1553	48	6.48114	96.8196
VC2381_hypothetical_protein	2545920	2546750	+	11605	153	3.36614	30.6348	7041	70	1.71541	18.2548	21868	288	4.97201	29.476	33836	335	6.24985	32.7308	10265	135	2.32754	16.0986	16375	215	3.97373	19.3755	27	1	1.02772	26.2217	686	21	5.74777	184.008	265	8	2.21203	32.6695	457	14	2.18983	32.7132
VC2382_hypothetical_protein	2546734	2547453	+	11235	148	3.76192	34.2368	5895	58	1.65793	17.6431	11055	145	2.90156	17.2016	6139	61	1.30899	6.85528	2810	37	0.73552	5.08728	3339	44	0.935367	4.56076	27	1	1.18638	30.2698	561	17	5.42609	173.71	194	6	1.86937	27.6088	549	17	3.0368	45.3658
VC2383_LysR_family_transcriptional_regulator	2547605	2548465	+	11220	148	3.14094	28.5853	15986	158	3.75883	40.0001	9391	124	2.0607	12.2166	4794	47	0.85461	4.47565	7075	93	1.54826	10.7087	6004	79	1.40617	6.85634	66	2	2.42456	61.8615	1030	32	8.32898	266.643	511	16	4.11666	60.7991	1233	38	5.70213	85.1823
VC2384_hypothetical_protein	2548395	2549180	-	10181	134	3.12238	28.4164	10109	100	2.60406	27.7114	14295	188	3.43649	20.3729	45592	451	8.90405	46.6311	26536	349	6.36184	44.0022	36725	483	9.42295	45.9454	113	4	4.54775	116.034	550	17	4.87244	155.985	1243	38	10.9704	162.023	1657	51	8.39509	125.412
VC2385_RNA-directed_DNA_polymerase	2549642	2550613	+	33975	447	8.42374	76.6635	25058	248	5.21842	55.5325	9299	122	1.80725	10.7141	37586	372	5.93438	31.0787	11554	152	2.23939	15.4889	14676	193	3.04427	14.8436	191	6	6.21444	158.558	433	13	3.10114	99.2796	240	7	1.71244	25.291	249	8	1.01989	15.2358
VC2386_hypothetical_protein	2550614	2552236	+	29309	386	4.35026	39.5912	6948	69	0.866205	9.21783	5468	72	0.636178	3.77151	27851	276	2.63244	13.7863	11450	151	1.32853	9.18888	12929	170	1.60549	7.82824	814	25	15.8548	404.528	543	17	2.3281	74.5316	916	28	3.91261	57.7856	1286	40	3.15328	47.1059
VC2387_hypothetical_protein	2552249	2552866	+	8510	112	3.32054	30.2199	1428	14	0.46801	4.98038	1138	15	0.348063	2.06345	3082	31	0.765801	4.01055	2917	38	0.88975	6.15403	3952	52	1.29011	6.29045	3735	117	191.246	4879.56	448	14	5.04947	161.653	252	8	2.82968	41.7917	233	7	1.50191	22.4365
VC2388_hypothetical_protein	2553477	2553959	+	2060	27	1.02893	9.36416	2163	21	0.907447	9.65671	35250	464	13.8011	81.8182	19658	195	6.2526	32.7453	15282	201	5.96692	41.2707	24982	329	10.4394	50.9014	20	1	1.3109	33.4471	195	6	2.81346	90.0697	141	4	2.02672	29.9328	42	1	0.346557	5.17711
VC2389_carbamoyl_phosphate_synthase_large_subunit	2554049	2557279	-	301330	3965	22.4597	204.404	212349	2102	13.2941	141.471	686488	9033	40.1081	237.776	712956	7059	33.8399	177.222	721996	9500	42.0677	290.965	953788	12550	59.4763	290.001	1035	32	10.1234	258.293	3494	108	7.5227	240.831	3402	105	7.29716	107.772	5772	179	7.10716	106.172
VC2390_carbamoyl_phosphate_synthase_small_subunit	2557296	2558435	-	127919	1683	27.0381	246.071	46370	459	8.23237	87.6059	173424	2282	28.7334	170.343	183115	1813	24.6473	129.079	125751	1655	20.778	143.713	199883	2630	35.3465	172.346	246	8	6.82338	174.095	1789	55	10.9229	349.686	1783	55	10.8455	160.178	3014	93	10.5243	157.219
VC2391_dihydrodipicolinate_reductase	2558918	2559727	-	108240	1424	32.211	293.149	98835	979	24.7044	262.895	239367	3150	55.8363	331.019	515891	5108	97.7638	511.995	552556	7270	128.542	889.07	879819	11577	219.048	1068.06	527	16	20.5802	525.094	1086	34	9.33543	298.863	2745	85	23.508	347.191	5298	164	26.0457	389.088
VC2392_mutator_MutT_protein	2559842	2560240	-	7174	94	4.33953	39.4936	4515	45	2.29396	24.4115	21274	280	10.0871	59.8004	24106	239	9.28562	48.6293	21056	277	9.95657	68.8654	28707	378	14.5278	70.8361	0.5	0	0.0396894	1.01266	203	6	3.54704	113.554	278	9	4.83932	71.4721	242	7	2.41827	36.1258
VC2393_hypothetical_protein	2560226	2560393	+	106	1	0.152811	1.39071	0.5	0	0.000605432	0.00644278	0.5	0	0.000565008	0.00334959	620	6	0.569172	2.98079	0.5	0	0.000563469	0.00389728	76	1	0.0916625	0.446938	0.5	0	0.0945892	2.4134	137	4	5.70502	182.64	0.5	0	0.0207432	0.306357	1	0	0.0238153	0.355769
VC2394_preprotein_translocase_subunit_SecA	2560390	2563101	-	407325	5360	36.1723	329.2	346542	3431	25.8487	275.072	925437	12177	64.4197	381.905	1.49E+06	14736	84.1686	440.796	1.22E+06	16034	84.5923	585.089	1.89E+06	24918	140.701	686.044	1283	40	14.9515	381.481	5395	167	13.8393	443.05	6163	191	15.7502	232.615	11904	369	17.4637	260.885
VC2395_hypothetical_protein	2563455	2563928	+	4358	57	2.21815	20.1871	6446	64	2.75576	29.3257	11370	150	4.53629	26.8929	16953	168	5.49483	28.7767	10691	141	4.25377	29.4215	14061	185	5.98756	29.1948	41	1	2.73849	69.8712	359	11	5.27821	168.976	98	3	1.43545	21.2002	363	11	3.05224	45.5964
VC2396_UDP-3-O-%5B3-hydroxymyristoyl%5D_N-acetylglucosamine_deacetylase	2564032	2564949	-	716241	9424	188.042	1711.35	805598	7976	177.648	1890.47	858506	11296	176.675	1047.4	1.23E+06	12206	206.103	1079.38	673192	8858	138.161	955.604	908572	11955	199.565	973.061	1395	44	48.061	1226.25	3592	111	27.2408	872.084	18888	585	142.705	2107.62	32744	1014	142.015	2121.52
VC2397_cell_division_protein_FtsZ	2565047	2566243	-	898838	11827	180.932	1646.64	1.21E+06	11991	204.766	2179.04	1.31E+06	17225	206.563	1224.59	1.80E+06	17842	231	1209.76	1.16E+06	15291	182.868	1264.82	1.85E+06	24301	311.03	1516.55	1476	46	38.9891	994.788	4561	141	26.5205	849.024	21600	669	125.125	1847.98	40923	1267	136.085	2032.92
VC2398_cell_division_protein_FtsA	2566274	2567536	-	338381	4452	64.5523	587.483	305598	3026	48.9669	521.088	665044	8751	99.4471	589.561	591201	5853	71.8198	376.125	378218	4977	56.4027	390.114	617514	8125	98.5558	480.549	403	13	10.0887	257.407	1641	51	9.04279	289.495	4472	138	24.5508	362.591	7060	219	22.2494	332.376
VC2399_cell_division_protein_FtsQ	2567529	2568311	-	212157	2792	65.3154	594.428	143721	1423	37.1642	395.488	329646	4337	79.5504	471.605	389429	3856	76.3467	399.832	177524	2336	42.7235	295.501	262980	3460	67.7346	330.267	219	7	8.84759	225.742	1649	51	14.6645	469.467	1303	40	11.5441	170.495	2703	84	13.7471	205.364
VC2400_UDP-N-acetylmuramate--L-alanine_ligase	2568493	2570013	-	95698	1259	15.1574	137.946	84731	839	11.2722	119.955	305359	4018	37.9113	224.753	330705	3274	33.3554	174.684	194447	2559	24.0755	166.52	270672	3561	35.867	174.884	538	17	11.1822	285.308	2092	65	9.57131	306.414	2355	73	10.7342	158.534	3750	116	9.81206	146.579
VC2401_undecaprenyldiphospho-muramoylpentapeptide_beta-N-_acetylglucosaminyltransferase	2569967	2571031	-	53897	709	12.1952	110.987	52540	520	9.98528	106.26	178594	2350	31.6757	187.786	121204	1200	17.464	91.4601	75206	990	13.3023	92.0066	93257	1227	17.6537	86.0775	94	3	2.79109	71.2134	786	24	5.13729	164.464	1139	35	7.41659	109.536	2264	70	8.46267	126.421
VC2402_cell_division_protein_FtsW	2571015	2572211	-	28909	380	5.81925	52.9603	22271	221	3.76548	40.0708	66624	877	10.5124	62.3214	34817	345	4.46302	23.3731	22298	293	3.50874	24.2685	23548	310	3.96568	19.3363	58	2	1.53209	39.0906	1268	39	7.37295	236.037	807	25	4.67482	69.0426	1643	51	5.4636	81.619
VC2403_UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_synthetase	2572228	2573562	-	66409	874	11.9849	109.074	57172	566	8.66641	92.2247	132632	1745	18.7626	111.232	124834	1236	14.3465	75.1334	61873	814	8.72895	60.3745	88380	1163	13.3442	65.0651	308	10	7.29429	186.11	1297	40	6.76141	216.459	2040	63	10.5949	156.476	3443	107	10.2649	153.344
VC2404_phospho-N-acetylmuramoyl-pentapeptide-transferase	2573574	2574656	-	68916	907	15.3341	139.554	56065	555	10.4779	111.502	173819	2287	30.3159	179.725	163073	1615	23.1059	121.007	77968	1026	13.5614	93.7988	105550	1389	19.6483	95.8034	325	10	9.48951	242.12	966	30	6.20873	198.766	2333	72	14.9386	220.629	3916	121	14.3942	215.031
VC2405_UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanyl_ligase	2574653	2576014	-	85512	1125	15.1263	137.663	92832	919	13.7928	146.777	247445	3256	34.3101	203.403	272177	2695	30.6593	160.565	172119	2265	23.8006	164.619	218960	2881	32.4042	158	368	12	8.54235	217.954	1435	44	7.33241	234.739	2810	87	14.3044	211.263	6358	197	18.5795	277.554
VC2406_UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate_ligase	2576011	2577549	-	80462	1059	12.595	114.626	88194	873	11.5956	123.396	251940	3315	30.9131	183.265	271677	2690	27.081	141.825	138348	1820	16.9291	117.091	180185	2371	23.597	115.057	139	4	2.85526	72.8507	1628	50	7.36124	235.662	3280	102	14.7754	218.219	5724	177	14.8018	221.12
VC2407_penicillin-binding_protein_3	2577515	2579257	-	62150	818	8.5893	78.1703	68785	681	7.98468	84.97	125076	1646	13.5496	80.3274	119799	1186	10.5432	55.2155	57439	756	6.20548	42.9207	80438	1058	9.30053	45.3485	217	7	3.9355	100.412	1572	49	6.27563	200.907	1075	33	4.27546	63.1444	1691	52	3.86072	57.674
VC2408_cell_division_protein_FtsL	2579254	2579574	-	8641	114	6.50098	59.1647	12589	125	7.95523	84.6567	14798	195	8.72678	51.7358	22837	226	10.941	57.2988	9095	120	5.34896	36.9965	11536	152	7.26106	35.4042	59	2	5.82492	148.62	225	7	4.88974	156.539	153	5	3.31256	48.9234	97	3	1.20558	18.0097
VC2409_S-adenosyl-methyltransferase_MraW	2579584	2580534	-	50884	670	12.895	117.356	75848	751	16.1448	171.807	118101	1554	23.4602	139.081	124125	1229	20.0311	104.904	77667	1022	15.3861	106.419	100732	1325	21.3569	104.134	102	3	3.39207	86.547	1089	34	7.97182	255.209	1354	42	9.87455	145.838	3009	93	12.5971	188.184
VC2410_hypothetical_protein	2581102	2581203	-	540625	7113	1288.66	11728	1.88E+06	18611	3763.39	40048.6	914873	12038	1709.39	10133.9	3.23E+06	31982	4903.15	25678.1	952008	12526	1773.93	12269.5	1.15E+06	15082	2285.86	11145.6	2795	87	874.275	22306.7	10086	312	694.466	22232.5	15638	484	1072.71	15842.9	30280	937	1192.36	17812.3
VC2411_hypothetical_protein	2581198	2581332	+	124	2	0.222783	2.02752	70	1	0.105634	1.12412	0.5	0	0.000704152	0.00417449	288	3	0.329501	1.72562	0.5	0	0.000702234	0.00485706	0.5	0	0.000751554	0.0036645	0.5	0	0.117884	3.00774	146	5	7.57707	242.571	53	2	2.74027	40.4712	71	2	2.1073	31.4803
VC2412_dihydrolipoamide_dehydrogenase	2581292	2582719	-	1.15E+06	15191	194.781	1772.68	775921	7682	109.953	1170.07	5.45E+06	71684	720.466	4271.2	8.05E+06	79697	864.783	4528.92	3.46E+06	45565	456.707	3158.85	4.37E+06	57459	616.374	3005.38	1959	61	43.3709	1106.59	5632	174	27.4468	878.678	26009	805	126.276	1864.98	45904	1421	127.938	1911.22
VC2413_dihydrolipoamide_acetyltransferase	2582987	2584894	-	1.15E+06	15072	144.614	1316.11	1.04E+06	10286	110.157	1172.25	5.09E+06	66911	503.228	2983.33	7.22E+06	71497	580.529	3040.27	2.85E+06	37484	281.14	1944.52	3.53E+06	46455	372.9	1818.23	1752	55	29.0249	740.557	5056	157	18.4378	590.266	14511	449	52.7192	778.613	25550	791	53.286	796.022
