Gene.ID	Gene.Symbol	24hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	1hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	1hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	Log2(24hpi_CtE_Hep2_MOI_1_rRNAdep/1hpi_CtE_Hep2_MOI_1_rRNAdep)
CT563	yscS	1514	0.8780302	7	0.6998246	0.3272771	Yop proteins translocation protein S
CT564	yyscT	2282	0.4257822	18	0.6105666	-0.5200330	Yop proteins translocation protein T
CT565	NOT FOUND	31602	11.9080137	110	5.3581042	1.1521382	hypothetical protein
CT566	NOT FOUND	1329	0.2098579	134	3.4276568	-4.0297377	hypothetical protein
CT567	NOT FOUND	972	0.3026761	119	5.9103810	-4.2874053	hypothetical protein
CT568	NOT FOUND	1264	0.4621983	173	8.6525489	-4.2265410	hypothetical protein
CT569	NOT FOUND	989	0.5066634	175	11.7800027	-4.5391673	general secretion pathway protein G
CT570	gspF	1083	0.1636919	156	2.9323517	-4.1630043	general secretion pathway protein F
CT571	gspE	1969	0.2269339	267	4.5774796	-4.3342085	general secretion pathway protein E
CT572	gspD	2859	0.2131582	410	4.4178021	-4.3733332	general secretion pathway protein D
CT573	NOT FOUND	1219	0.1813693	248	4.9874119	-4.7812897	hypothetical protein
CT574	pepP	2502	0.3728256	0	0.0000000	21.8300695	aminopeptidase P
CT575	mutL	2881	0.2809126	23	0.3647780	-0.3768975	DNA mismatch repair protein
CT576	lcrH_1	2008	0.4575127	25	0.6676254	-0.5452271	low calcium response protein H
CT577	NOT FOUND	781	0.3229087	20	1.4838402	-2.2001375	hypothetical protein
CT578	NOT FOUND	2501	0.2540295	48	0.7042356	-1.4710623	hypothetical protein
CT579	NOT FOUND	2744	0.3210336	106	1.8739919	-2.5453187	hypothetical protein
CT580	NOT FOUND	1016	0.1683106	47	1.1560548	-2.7800119	hypothetical protein
CT581	thrS	4813	0.4007811	33	0.5195419	-0.3744256	threonyl-tRNA synthetase
CT582	minD	5479	1.1289259	6	0.1273301	3.1483054	chromosome partitioning ATPase-CHLTR plasmid protein homolog GP5D
CT583	gp6D	3045	0.6240268	0	0.0000000	22.5731766	virulence plasmid protein pGP6-D-related protein
CT584	NOT FOUND	5074	1.4791981	2	0.0858696	4.1065240	hypothetical protein
CT585	trpS	5183	0.8063894	4	0.0768458	3.3914384	tryptophanyl-tRNA synthetase
CT586	uvrB	2324	0.1869607	7	0.1087177	0.7821482	excinuclease ABC subunit B
CT587	eno	6726	0.8148727	5	0.0813306	3.3247045	phosphopyruvate hydratase
CT588	rbsU	1405	0.1202816	0	0.0000000	20.1979845	sigma regulatory family protein-PP2C phosphatase
CT589	NOT FOUND	929	0.0829002	2	0.0262023	1.6616821	hypothetical protein
CT590	NOT FOUND	4461	0.2543623	0	0.0000000	21.2784534	hypothetical protein
CT591	sdhB	618	0.1489580	0	0.0000000	20.5064742	succinate dehydrogenase iron-sulfur subunit
CT592	sdhA	673	0.0665368	2	0.0275261	1.2733522	succinate dehydrogenase flavoprotein subunit
CT593	sdhC	226	0.0644488	0	0.0000000	19.2977940	succinate dehydrogenase
CT593.1	NOT FOUND	204	0.1858606	0	0.0000000	20.8257895	hypothetical protein
CT594	ycfH	1231	0.2497548	0	0.0000000	21.2520810	PHP superfamily hydrolase
CT595	dsbD	2122	0.1622825	2	0.0550746	1.5590484	Thio:disulfide interchange protein
CT596	exbB	1441	0.3305984	2	0.0466330	2.8256566	polysaccharide transporter
CT597	exbD	283	0.1157221	0	0.0000000	20.1422330	biopolymer transport protein
CT598	NOT FOUND	325	0.0766681	2	0.0460402	0.7357323	histone H1-I
CT599	tolB	3234	0.4090665	8	0.1348738	1.6007253	translocation protein TolB
CT600	pal	4535	1.2653553	11	0.4075714	1.6344178	peptidoglycan-associated lipoprotein
CT601	papQ	3127	0.8268329	36	1.3731678	-0.7318402	invasin repeat-containing phosphatase
CT602	NOT FOUND	5215	2.0958321	223	14.2688652	-2.7672754	hypothetical protein
CT603	ahpC	13806	3.8992822	784	32.8545650	-3.0748136	thioredoxin peroxidase
CTt23	tRNAArg_1	308	0.7389557	30	9.3947969	-3.6683030	tRNA-Arg
CT604	groEL_2	1975	0.2063863	0	0.0000000	20.9769158	HSP-60
CT605	ybbC	914	0.1253448	0	0.0000000	20.2574707	hypothetical protein
CT606	yggV	1866	0.4895668	1	0.0258702	4.2421426	putative deoxyribonucleotide triphosphate pyrophosphatase
CT606.1	NOT FOUND	1030	0.7634299	2	0.1358187	2.4908136	hypothetical protein
CT607	ung	376	0.0941979	2	0.0686957	0.4554751	uracil-DNA glycosylase
CT608	uvrD	7033	0.5707721	10	0.1010968	2.4971775	DNA helicase
CT609	rpoN	1096	0.1343285	0	0.0000000	20.3573340	RNA polymerase factor sigma-54
CT610	NOT FOUND	13711	3.2442329	25	0.7669112	2.0807460	hypothetical protein
CT611	NOT FOUND	6756	1.5148242	25	0.8410843	0.8488281	hypothetical protein
CT612	folA	3466	1.2055862	24	1.0318056	0.2245637	dihydrofolate reductase
CT613	folP	17011	2.0587913	62	1.0929332	0.9135923	dihydropteroate synthase
CT614	folX	3299	1.4130398	13	0.7834152	0.8509531	dihydroneopterin aldolase
CT615	rpoD	6288	0.5791229	28	0.3740553	0.6306179	RNA polymerase sigma factor
CT616	NOT FOUND	1628	0.2142547	7	0.0884401	1.2765543	hypothetical protein
CT617	rpsT	14516	7.8483893	316	25.1723729	-1.6813729	30S ribosomal protein S20
CT618	NOT FOUND	4135	0.8677423	209	6.9912850	-3.0102192	hypothetical protein
CT619	NOT FOUND	2114	0.1303034	23	0.1647964	-0.3388101	hypothetical protein
CT620	NOT FOUND	3400	0.2126363	6	0.0447330	2.2489765	hypothetical protein
CT621	NOT FOUND	19383	1.2486130	12	0.1347325	3.2121566	hypothetical protein
CT622	NOT FOUND	2779	0.2279038	14	0.1823506	0.3217101	hypothetical protein
CT623	NOT FOUND	5242	0.6193911	4	0.0501871	3.6254622	hypothetical protein
CT624	mviN	2925	0.2978280	0	0.0000000	21.5060480	integral membrane protein
CT625	nfo	3675	0.7089457	14	0.4691880	0.5955090	endonuclease IV
CT626	rpsD	9206	2.3769420	182	6.7838596	-1.5129994	30S ribosomal protein S4
CT627	yceA	4324	0.6551202	4	0.0812973	3.0104803	hypothetical protein
CT628	ispA	2090	0.3893612	4	0.0913202	2.0921032	dimethylallyltransferase
CT629	glmU	2037	0.5445674	0	0.0000000	22.3766792	glucosamine-1-phosphate acetyltransferase
CT630	cpxR	3147	0.7483154	4	0.0953114	2.9729258	HTH transcriptional regulatory protein and receiver domain
CT631	NOT FOUND	790	0.5812254	2	0.1858824	1.6447076	hypothetical protein
CTt24	tRNAPro_2	237	0.5547555	0	0.0000000	22.4034206	tRNA-Pro
CT632	NOT FOUND	4809	0.4864296	4	0.0503123	3.2732480	hypothetical protein
CT633	hemB	1229	0.2008453	0	0.0000000	20.9376533	delta-aminolevulinic acid dehydratase
CT634	NOT FOUND	4916	0.6049670	25	0.3871044	0.6441337	Na( )-translocating NADH-quinone reductase subunit A
CT635	NOT FOUND	1337	0.4884129	36	2.1949849	-2.1680378	hypothetical protein
CT636	greA	5055	0.3859777	23	0.3408197	0.1795088	transcript cleavage factor/unknown domain fusion protein
CTt25	tRNAAla_2	29	0.0698573	3	0.6697909	-3.2612277	tRNA-Ala
CT637	tyrB	2445	0.3259775	10	0.2839509	0.1991309	aromatic amino acid aminotransferase
CT638	NOT FOUND	595	0.1166797	4	0.1041621	0.1637231	rod shape-determining protein MreC
CT638.1	NOT FOUND	120	0.0931277	0	0.0000000	19.8288508	hypothetical protein
CT639	recB	2105	0.1124437	10	0.0673135	0.7402351	exodeoxyribonuclease V beta chain
CT640	recC	3030	0.1763266	27	0.2150150	-0.2861872	exodeoxyribonuclease V gamma chain
CT641	ygeD	3579	0.3498559	61	0.9304109	-1.4111072	efflux protein
CT642	NOT FOUND	779	0.1486720	4	0.1984069	-0.4163292	hypothetical protein
CT643	topA	8280	0.5061461	11	0.1100969	2.2007800	DNA topoisomerase I/SWI domain fusion protein
CT644	yohI	1641	0.2567331	12	0.1946059	0.3997138	oxidoreductase
CT645	NOT FOUND	124	0.0642013	2	0.1595960	-1.3137500	integral membrane protein
CT646	NOT FOUND	118	0.0143123	25	0.4622311	-5.0132876	hypothetical protein
CT647	NOT FOUND	342	0.1163619	148	6.1806109	-5.7310607	hypothetical protein
CT648	NOT FOUND	725	0.0940200	253	4.5208517	-5.5874808	hypothetical protein
CT649	ygfA	4	0.0006490	4	0.2739227	-8.7213234	formyltetrahydrofolate synthetase
CT650	recA	1471	0.2161297	31	0.6383099	-1.5623598	recombinase A
CT651	NOT FOUND	74	0.0055003	0	0.0000000	15.7472227	hypothetical protein
CT652	recD_2	307	0.0309440	0	0.0000000	18.2393002	exodeoxyribonuclease V alpha chain
CT652.1	NOT FOUND	885	0.7966605	0	0.0000000	22.9255336	hypothetical protein
CT653	yhbG	1735	0.3763642	0	0.0000000	21.8436980	ABC transporter ATP-binding protein
CT654	NOT FOUND	2000	0.6588156	0	0.0000000	22.6514433	hypothetical protein
CT655	kdsA	10793	2.1122960	4	0.1170370	4.1737754	2-dehydro-3-deoxyphosphooctonate aldolase
CTt26	tRNAArg_2	62	0.1319233	0	0.0000000	20.3312680	tRNA-Arg
CT656	NOT FOUND	2527	1.4179987	8	0.5945459	1.2539961	hypothetical protein
CT657	NOT FOUND	1368	0.6621533	2	0.3600629	0.8789163	hypothetical protein
CT658	sfhB	3003	0.4931849	45	1.1294056	-1.1953632	ribosomal large subunit pseudouridine synthase D
CT659	NOT FOUND	7304	5.1503049	94	9.6288326	-0.9027031	hypothetical protein
CT660	gyrA_2	3320	0.3651739	21	0.2625076	0.4762245	DNA topoisomerase IV subunit A
CT661	gyrB_2	1096	0.0958249	2	0.0260726	1.8778661	DNA topoisomerase IV subunit B
CT662	hemA	563	0.0985432	0	0.0000000	19.9103968	glutamyl-tRNA reductase
CT663	NOT FOUND	5165	2.2439203	0	0.0000000	24.4195181	hypothetical protein
CT664	NOT FOUND	22508	1.5088532	10	0.1371859	3.4592483	FHA domain-containing protein
CT665	NOT FOUND	6576	4.2520647	2	0.1293512	5.0387982	hypothetical protein
CT666	NOT FOUND	7503	4.7017590	7	0.4527291	3.3764806	hypothetical protein
CT667	NOT FOUND	10497	3.7933444	6	0.2173099	4.1256446	hypothetical protein
CT668	NOT FOUND	6780	1.6078231	2	0.1703869	3.2382224	hypothetical protein
CT669	yscN	7323	0.9063404	2	0.0245271	5.2076044	type III secretion system ATPase
CT670	NOT FOUND	4378	1.3629613	4	0.1285858	3.4059414	hypothetical protein
CT671	NOT FOUND	10650	1.9278495	2	0.0382588	5.6550570	hypothetical protein
CT672	fliN	7655	1.0919065	6	0.0871564	3.6470989	type III secretion system protein
CT673	pkn5	3206	0.3486477	0	0.0000000	21.7333385	S/T protein kinase
CT674	yscC	17767	0.9937137	6	0.0406914	4.6100344	Yop proteins translocation protein C/general secretion pathway protein
CTt27	tRNAThr_3	4324	10.9100608	11	4.9026196	1.1540344	tRNA-Thr
CT675	karG	708	0.1241487	2	0.0304356	2.0282374	ATP:guanido phosphotransferase
CT676	NOT FOUND	744	0.2429847	4	0.3101533	-0.3521160	hypothetical protein
CTt28	tRNALys	178	0.4247689	1	0.2232636	0.9279300	tRNA-Lys
CTt29	tRNAGlu	250	0.5993628	3	1.1979532	-0.9990701	tRNA-Glu
CT677	frr	709	0.2011572	29	1.2398554	-2.6237763	ribosome recycling factor
CT678	pyrH	4850	1.0688862	41	1.6208316	-0.6006259	uridylate kinase
CT679	tsf	1506	0.2557391	5	0.1221396	1.0661417	elongation factor Ts
CT680	rpsB	0	0.0000000	0	0.0000000	0.0000000	30S ribosomal protein S2
CTt30	tRNAGly_2	0	0.0000000	0	0.0000000	0.0000000	tRNA-Gly
CT681	ompA	8998	1.1091316	4	0.0551548	4.3298003	major outer membrane protein
CT682	pbpB	4964	0.2396959	0	0.0000000	21.1927738	penicillin-binding protein
CT683	NOT FOUND	3041	0.5132811	6	0.1116994	2.2001277	TPR-motif-containing protein
CT684	NOT FOUND	2314	0.2511456	0	0.0000000	21.2600926	cysteine desulfurase activator complex subunit SufB
CT685	NOT FOUND	958	0.2045446	2	0.1490886	0.4562455	ABC transporter ATP-binding protein
CT686	NOT FOUND	720	0.0969253	0	0.0000000	19.8865138	ABC transporter membrane protein
CT687	yfhO_1	1314	0.1752414	2	0.0949420	0.8842253	cysteine desulfurase
CT688	parB	1525	0.2668878	0	0.0000000	21.3478019	chromosome partitioning protein
CT689	dppF	1789	0.3592131	0	0.0000000	21.7764085	peptide ABC transporter ATPase
CT690	dppD	3085	0.5255016	4	0.1675983	1.6486877	peptide ABC transporter ATPase
CT691	NOT FOUND	39734	9.2383306	177	6.3307784	0.5452493	hypothetical protein
CT692	NOT FOUND	12181	1.6109647	44	0.8409980	0.9377506	inorganic phosphate transporter
CT693	pgk	2153	0.3125477	4	0.0537896	2.5386772	phosphoglycerate kinase
CT694	NOT FOUND	361	0.0548062	1	0.0167678	1.7086457	hypothetical protein
CT695	NOT FOUND	1039	0.1435703	4	0.0791980	0.8582214	hypothetical protein
CT696	NOT FOUND	4033	0.5460414	0	0.0000000	22.3805789	hypothetical protein
CT697	nth	1045	0.2909967	0	0.0000000	21.4725714	endonuclease III
CT698	trmE	1660	0.2085068	36	0.7011775	-1.7496855	tRNA modification GTPase TrmE
CT699	psdD	784	0.1355919	10	0.4674354	-1.7854962	phosphatidylserine decarboxylase
CT700	NOT FOUND	8253	0.9372934	0	0.0000000	23.1600693	hypothetical protein
CT701	secA	21253	1.1981567	44	0.3847786	1.6387161	preprotein translocase subunit SecA
CT702	NOT FOUND	5055	1.5853573	21	0.9295122	0.7702623	hypothetical protein
CT703	engA	2720	0.2980642	69	1.1972511	-2.0060309	GTP-binding protein EngA
CT704	pcnB_2	4651	0.6123901	4	0.0708826	3.1109475	polyA polymerase
CT705	clpX	16522	2.0342633	19	0.3695141	2.4608051	ATP-dependent protease ATP-binding subunit ClpX
CT706	clpP	7933	2.0805696	9	0.3307835	2.6530194	ATP-dependent Clp protease proteolytic subunit
CT707	tig	16872	2.0090105	34	0.6516046	1.6244164	trigger factor
CTt31	tRNAGly_1	75	0.1798610	1	0.2263645	-0.3317654	tRNA-Gly
CT708	NOT FOUND	38557	1.7319874	16	0.1258254	3.7829333	SWF/SNF family helicase
CT709	mreB	11637	1.7643284	2	0.0296063	5.8970711	rod shape-determining protein MreB
CT710	pckA	7825	0.7659968	6	0.0625517	3.6142174	phosphoenolpyruvate carboxykinase
CT711	NOT FOUND	4580	0.3239656	14	0.2185299	0.5680099	hypothetical protein
CT712	NOT FOUND	3330	0.4710570	0	0.0000000	22.1674702	hypothetical protein
CT713	porB	9730	1.6039666	8	0.2875787	2.4796154	outer membrane protein B
CT714	gpsA	1023	0.1822843	4	0.0648686	1.4905981	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CT715	NOT FOUND	746	0.0899184	0	0.0000000	19.7782568	UDP-N-acetylglucosamine pyrophosphorylase
CT716	NOT FOUND	185	0.0758885	0	0.0000000	19.5335218	hypothetical protein
CT717	fliI	417	0.0514966	0	0.0000000	18.9741177	type III secretion system ATPase
CT718	NOT FOUND	649	0.2015387	0	0.0000000	20.9426255	hypothetical protein
CT719	fliF	3103	0.5071788	0	0.0000000	22.2740630	type III secretion system protein
CT720	NOT FOUND	673	0.1428338	2	0.0605364	1.2384626	NifU-related protein
CT721	yfhO_2	1089	0.1548703	4	0.1273563	0.2821902	NifS-related protein
CT722	pgm	1651	0.4006992	2	0.1080004	1.8914830	phosphoglyceromutase
CT723	yjbC	419	0.0946037	96	3.0148760	-4.9940568	ribosomal large subunit pseudouridine synthase B
CT724	NOT FOUND	420	0.1318399	12	0.3725313	-1.4985745	hypothetical protein
CT725	birA	435	0.1392375	5	0.1468310	-0.0766087	biotin--protein ligase
CT726	rodA	1753	0.2422809	5	0.0714835	1.7609985	rod shape protein
CT727	zntA	5628	0.4469377	5	0.0618399	2.8534638	metal transport P-type ATPase
CT728	NOT FOUND	4264	0.8713812	9	0.2710033	1.6849936	hypothetical protein
CT729	serS	4261	0.5218453	12	0.2094767	1.3168324	seryl-tRNA synthetase
CT730	ribD	1121	0.1634162	4	0.1435284	0.1872148	riboflavin deaminase
CT731	ribA/ribB	4025	0.5192421	103	2.0453430	-1.9778637	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein
CT732	ribH	859	0.3029468	13	1.0590680	-1.8056587	6,7-dimethyl-8-ribityllumazine synthase
CT733	NOT FOUND	5954	0.7155128	14	0.2741596	1.3839616	hypothetical protein
CT734	NOT FOUND	13290	3.2713814	609	21.5852036	-2.7220705	hypothetical protein
CT735	dagA_2	4806	0.6158263	195	3.0334244	-2.3003517	Na( )-linked D-alanine glycine permease
CT736	ybcL	3005	1.1014171	40	1.6842299	-0.6127281	hypothetical protein
CT737	NOT FOUND	1795	0.4485638	6	0.2946917	0.6061067	SET domain containing protein
CT738	yycJ	1308	0.2606162	0	0.0000000	21.3134953	Zn-dependent hydrolase
CT739	ftsK	2500	0.1736878	2	0.0197500	3.1365719	cell division protein FtsK
CTt32	tRNAHis	48	0.1088723	0	0.0000000	20.0542055	tRNA-His
CTr01	16SrRNA_1	1038810	182.6004202	1852	24.0022105	2.9274509	16S ribosomal RNA
CTr02	23SrRNA_1	1057623	96.6123617	5896	38.5460181	1.3256259	23S ribosomal RNA
CTr03	5SrRNA_1	287	0.5250971	2	0.2786025	0.9143760	5S ribosomal RNA
CT740	dmpP	6947	0.8555276	22	0.4487519	0.9308963	Na( )-translocating NADH-quinone reductase subunit F
CT741	yajC	3141	1.4386200	0	0.0000000	23.7781822	preprotein translocase subunit YajC
CT742	ygcA	1452	0.2015838	2	0.0273690	2.8807651	rRNA methyltransferase
CT743	hctA	11864	4.8711078	2	0.3029101	4.0072883	histone-like developmental protein
CT744	NOT FOUND	1339	0.0851770	2	0.0464315	0.8753600	CHLTR phosphoprotein
CT745	hemG	1257	0.1657089	2	0.0371765	2.1561882	protoporphyrinogen oxidase
CT746	hemN_2	2227	0.2557788	2	0.0344978	2.8903204	coproporphyrinogen III oxidase
CT747	hemE	1644	0.2624309	2	0.1132542	1.2123730	uroporphyrinogen decarboxylase
CT748	mfd	6381	0.3053151	20	0.1511642	1.0141824	transcription-repair coupling factor
CT749	alaS	7343	0.4259985	42	0.3791356	0.1681344	alanyl-tRNA synthetase
CTr04	16SrRNA_2	1037288	182.3135094	1916	23.9595857	2.9277466	16S ribosomal RNA
CTr05	23SrRNA_2	1132221	104.1322595	5867	38.8853658	1.4211179	23S ribosomal RNA
CTr06	5SrRNA_2	248	0.4896079	4	0.6204678	-0.3417295	5S ribosomal RNA
CT750	tktB	8168	0.6840351	57	0.7244097	-0.0827355	transketolase
CT751	amn	1720	0.3457718	8	0.3721839	-0.1061955	AMP nucleosidase
CT752	efp_2	1593	0.4760770	22	0.8720400	-0.8731994	elongation factor P
CT753	NOT FOUND	653	0.4693031	1	0.1053333	2.1555584	hypothetical protein
CT754	icc	669	0.1385396	2	0.0373385	1.8915626	phosphohydrolase
CT755	groEL_3	1439	0.1614194	0	0.0000000	20.6223825	60 kDa chaperonin GroEL
CTt33	tRNACys	61	0.1647661	0	0.0000000	20.6519880	tRNA-Cys
CT756	murF	1212	0.1450712	0	0.0000000	20.4683297	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase
CT757	mraY	722	0.1203813	0	0.0000000	20.1991799	phospho-N-acetylmuramoyl-pentapeptide- transferase
CT758	murD	4432	0.5783325	0	0.0000000	22.4634677	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
CT759	nlpD	3659	0.8066703	0	0.0000000	22.9435477	muramidase
CT760	ftsW	2090	0.3134425	0	0.0000000	21.5797694	cell division protein FtsW
CT761	murG	1943	0.3097616	0	0.0000000	21.5627269	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
CT762	murC/ddlA	6633	0.4421543	0	0.0000000	22.0761185	bifunctional D-alanyl-alanine synthetase A/UDP-N-acetylmuramate--L-alanine ligase
CT763	NOT FOUND	3255	1.2564397	4	0.2257143	2.4767717	hypothetical protein
CT764	NOT FOUND	387	0.0821851	0	0.0000000	19.6485173	hypothetical protein
CT765	rsbV_2	604	0.2972354	0	0.0000000	21.5031745	anti-sigma F factor antagonist
CT766	miaA	1422	0.2298371	2	0.0464706	2.3062215	tRNA delta(2)-isopentenylpyrophosphate transferase
CT767	NOT FOUND	1300	0.2059597	2	0.0450143	2.1939068	hypothetical protein
CT768	NOT FOUND	16263	1.5620945	156	2.1386931	-0.4532477	hypothetical protein
CT769	ybeB	8906	3.9279781	7	0.3580312	3.4556297	iojap superfamily protein
CT770	fabF	16194	2.1191563	20	0.2828735	2.9052611	3-oxoacyl-(acyl carrier protein) synthase II
CT771	NOT FOUND	4623	1.7321041	4	0.1765927	3.2940280	hydrolase/phosphatase-like protein
CT772	ppa	2009	0.4899414	6	0.1552214	1.6582817	inorganic pyrophosphatase
CT773	ldh	4811	0.7767858	0	0.0000000	22.8890854	leucine dehydrogenase
CT774	cysQ	1505	0.2626962	0	0.0000000	21.3249639	3'(2'),5'-bisphosphate nucleotidase
CT775	NOT FOUND	8113	1.7530989	90	3.1494463	-0.8451908	1-acyl-sn-glycerol-3-phosphate acyltransferase
CT776	aas	6992	0.7092431	118	1.7164699	-1.2750924	long chain fatty acid--[acyl-carrier-protein] ligase
CT777	bioF	2973	0.4379393	23	0.3993123	0.1332134	8-amino-7-oxononanoate synthase
CT778	priA	1874	0.1365038	2	0.0144105	3.2437488	primosome assembly protein PriA
CT779	NOT FOUND	422	0.1155463	0	0.0000000	20.1400396	hypothetical protein
CT780	NOT FOUND	5279	1.7290229	2	0.0658515	4.7145969	protein disulfide isomerase
CT781	lysS	4431	0.4537962	8	0.0918340	2.3049442	lysyl-tRNA synthetase
CT782	cysS	3393	0.3703999	8	0.1718206	1.1081807	cysteinyl-tRNA synthetase
CT783	NOT FOUND	14259	2.2302139	29	0.5737352	1.9587251	disulfide bond isomerase
CT784	rnpA	8281	3.8284539	125	8.6530061	-1.1764394	ribonuclease P
CT785	rpmH	4656	6.2940180	99	16.2688152	-1.3700561	50S ribosomal protein L34
CT786	rpmJ	11649	13.3665726	144	26.6748602	-0.9968512	50S ribosomal protein L36
CT787	rpsN	10286	5.5517636	150	12.6412596	-1.1871223	30S ribosomal protein S14
CT788	NOT FOUND	3896	1.2946903	63	3.1239749	-1.2707760	leader (60) peptide-periplasmic
CT789	NOT FOUND	543	0.3518349	8	1.0049255	-1.5141182	hypothetical protein
CT790	NOT FOUND	6959	2.2986922	6	0.1975545	3.5404907	hypothetical protein
CT791	uvrC	2353	0.2117811	0	0.0000000	21.0141424	excinuclease ABC subunit C
CT792	mutS	3921	0.2480664	2	0.0132345	4.2283507	DNA mismatch repair protein MutS
CT793	NOT FOUND	60	0.0364526	0	0.0000000	18.4756622	hypothetical protein
CT794	dnaG	2322	0.2220123	20	0.2777905	-0.3233576	DNA primase
CT794.1	NOT FOUND	162	0.0976315	178	14.3529605	-7.1997829	hypothetical protein
CT795	NOT FOUND	2509	0.8126841	183	9.8770557	-3.6033144	hypothetical protein
CT796	glyQ	4212	0.2262403	14	0.1943547	0.2191639	glycyl-tRNA synthetase
CT797	pgsA_2	2493	0.6845172	12	0.5164060	0.4065811	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
CT798	glgA	30384	3.3345789	50	0.7387627	2.1743217	glycogen synthase
CTt34	tRNAGln	352	0.9324462	2	0.6583333	0.5022023	tRNA-Gln
CT799	ctc	9760	2.9465291	103	4.4329969	-0.5892658	50S ribosomal protein L25/general stress protein Ctc
CT800	pth	4778	1.4958449	28	1.5888564	-0.0870281	peptidyl-tRNA hydrolase
CT801	rpsF	15662	7.4220397	160	12.1855147	-0.7152795	30S ribosomal protein S6
CT802	rpsR	13351	9.1701920	138	13.7501034	-0.5844187	30S ribosomal protein S18
CT803	rplI	15037	4.9552339	122	5.8327068	-0.2352124	50S ribosomal protein L9
CT804	ychB	3551	0.6666828	5	0.2055343	1.6976213	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
CT805	NOT FOUND	2290	0.2761921	2	0.0240920	3.5190460	hypothetical protein
CT806	ptr	4792	0.2633822	22	0.1740435	0.5977099	insulinase family/protease III
CT807	plsB	1256	0.1960255	33	0.8610142	-2.1349959	glycerol-3-phosphate acyltransferase
CT808	cafE	5831	0.5787162	147	2.3339067	-2.0118189	ribonuclease E
CT809	NOT FOUND	309	0.1562167	37	3.2185335	-4.3647831	hypothetical protein
CT810	rpmF	2390	2.2149791	37	4.7536842	-1.1017529	50S ribosomal protein L32
CT811	plsX	3163	0.5267235	43	1.0830400	-1.0399688	putative glycerol-3-phosphate acyltransferase PlsX
CT812	pmpD	10008	0.3579847	4	0.0141847	4.6574904	polymorphic outer membrane protein
CT813	NOT FOUND	475	0.0939042	4	0.1192453	-0.3446709	hypothetical protein
CT814	NOT FOUND	866	0.3312710	11	0.4643842	-0.4873069	hypothetical protein
CT814.1	NOT FOUND	917	0.3928791	10	0.5713305	-0.5402402	hypothetical protein
CT815	glmM	2365	0.2912180	2	0.0344227	3.0806674	phosphoglucosamine mutase
CT816	glmS	6231	0.5361564	2	0.0179003	4.9045982	glucosamine--fructose-6-phosphate aminotransferase
CT817	tyrP_1	2773	0.3783829	14	0.3522051	0.1034310	tyrosine transporter
CT818	tyrP_2	1363	0.2015719	10	0.2174954	-0.1096903	tyrosine transporter
CT819	yccA	8321	1.9380740	28	1.0617510	0.8681782	transport permease
CT820	ftsY	3100	0.5942793	42	1.2345994	-1.0548298	cell division protein FtsY
CT821	sucC	6558	0.9674478	0	0.0000000	23.2057524	succinyl-CoA synthetase subunit beta
CT822	sucD	3320	0.6527184	0	0.0000000	22.6380293	succinyl-CoA synthetase subunit alpha
CT823	htrA	7677	0.8325565	10	0.1936389	2.1041794	DO Serine protease
CT824	NOT FOUND	22165	1.2473424	12	0.1049879	3.5705626	zinc metalloprotease
CT825	NOT FOUND	2494	0.3190723	0	0.0000000	21.6054519	hypothetical protein
CT826	pssA	1100	0.2210745	0	0.0000000	21.0761012	CDP-diacylglycerol--serine O-phosphatidyltransferase
CT827	nrdA	35944	1.8213894	16	0.1137020	4.0017099	ribonucleotide-diphosphate reductase subunit alpha
CT828	nrdB	11149	1.6984107	2	0.0455332	5.2211227	ribonucleotide-diphosphate reductase subunit beta
CT829	trmB	1520	0.3664692	16	0.4740533	-0.3713574	tRNA (guanine-N(7)-)-methyltransferase
CTt35	tRNAVal_2	158	0.4080932	2	0.5405168	-0.4054407	tRNA-Val
CT830	ytgB_2	331	0.0920620	3	0.0835808	0.1394343	rRNA methylase
CT831	murB	633	0.1273648	2	0.0372106	1.7751810	UDP-N-acetylenolpyruvoylglucosamine reductase
CT832	nusB	2463	0.7883021	58	2.8610540	-1.8597260	transcription antitermination protein NusB
CT833	infC	9460	3.0694051	126	6.0573698	-0.9807325	translation initiation factor IF-3
CT834	rpmI	5154	4.3152778	72	9.7752722	-1.1796833	50S ribosomal protein L35
CT835	rplT	5382	2.4114455	80	5.8645822	-1.2821303	50S ribosomal protein L20
CT836	pheS	5691	0.9276346	77	1.7278903	-0.8973830	phenylalanyl-tRNA synthetase subunit alpha
CTt36	tRNASer_4	113	0.2385671	1	0.2821429	-0.2420309	tRNA-Ser
CT837	NOT FOUND	2240	0.1746853	26	0.3685781	-1.0772121	hypothetical protein
